"н.э.","T anomaly"
1083,-0.2489
1084,-0.0907
1085,-0.1762
1086,-0.0939
1087,-0.1196
1088,-0.1379
1089,-0.2214
1090,-0.2747
1091,-0.2899
1092,-0.2628
1093,-0.2535
1094,-0.2847
1095,-0.2857
1096,-0.2992
1097,-0.1845
1098,-0.3157
1099,-0.32
1100,-0.2612
1101,-0.3367
1102,-0.2407
1103,-0.2695
1104,-0.2718
1105,-0.2347
1106,-0.2074
1107,-0.3608
1108,-0.376
1109,-0.4691
1110,-0.4379
1111,-0.392
1112,-0.3579
1113,-0.3182
1114,-0.4089
1115,-0.3931
1116,-0.3582
1117,-0.3868
1118,-0.3629
1119,-0.4248
1120,-0.3429
1121,-0.4244
1122,-0.3189
1123,-0.2657
1124,-0.3639
1125,-0.2993
1126,-0.3367
1127,-0.4186
1128,-0.3427
1129,-0.4057
1130,-0.3449
1131,-0.3
1132,-0.3736
1133,-0.3959
1134,-0.3745
1135,-0.3036
1136,-0.3977
1137,-0.3429
1138,-0.3407
1139,-0.3356
1140,-0.3077
1141,-0.2303
1142,-0.2685
1143,-0.2872
1144,-0.3047
1145,-0.3347
1146,-0.3251
1147,-0.2787
1148,-0.2967
1149,-0.3133
1150,-0.2999
1151,-0.3651
1152,-0.2535
1153,-0.1628
1154,-0.1988
1155,-0.1062
1156,-0.2283
1157,-0.2268
1158,-0.2819
1159,-0.1959
1160,-0.1984
1161,-0.1541
1162,-0.1409
1163,-0.1525
1164,-0.1723
1165,-0.1958
1166,-0.2504
1167,-0.1809
1168,-0.1268
1169,-0.218
1170,-0.2228
1171,-0.3645
1172,-0.2948
1173,-0.2678
1174,-0.3184
1175,-0.2116
1176,-0.2517
1177,-0.2698
1178,-0.2369
1179,-0.3098
1180,-0.3019
1181,-0.2514
1182,-0.3291
1183,-0.2487
1184,-0.177
1185,-0.2107
1186,-0.3098
1187,-0.2558
1188,-0.2542
1189,-0.3564
1190,-0.295
1191,-0.3947
1192,-0.4019
1193,-0.2948
1194,-0.4037
1195,-0.2726
1196,-0.3745
1197,-0.3301
1198,-0.2951
1199,-0.2908
1200,-0.3467
1201,-0.3883
1202,-0.3622
1203,-0.3239
1204,-0.283
1205,-0.3064
1206,-0.3489
1207,-0.397
1208,-0.3207
1209,-0.2739
1210,-0.3208
1211,-0.2139
1212,-0.2398
1213,-0.3634
1214,-0.3848
1215,-0.3786
1216,-0.3679
1217,-0.3767
1218,-0.3897
1219,-0.3314
1220,-0.337
1221,-0.2305
1222,-0.2524
1223,-0.2709
1224,-0.2292
1225,-0.2569
1226,-0.32
1227,-0.2759
1228,-0.3679
1229,-0.2967
1230,-0.4329
1231,-0.2927
1232,-0.3043
1233,-0.3044
1234,-0.3817
1235,-0.3297
1236,-0.3432
1237,-0.2959
1238,-0.3228
1239,-0.2115
1240,-0.2223
1241,-0.2418
1242,-0.2351
1243,-0.2581
1244,-0.3219
1245,-0.212
1246,-0.2781
1247,-0.2197
1248,-0.1985
1249,-0.1527
1250,-0.2499
1251,-0.2519
1252,-0.2669
1253,-0.2329
1254,-0.2809
1255,-0.2207
1256,-0.3125
1257,-0.1308
1258,-0.392
1259,-0.4283
1260,-0.3828
1261,-0.3326
1262,-0.3262
1263,-0.4261
1264,-0.3673
1265,-0.3948
1266,-0.3628
1267,-0.4348
1268,-0.3869
1269,-0.2796
1270,-0.3669
1271,-0.3545
1272,-0.3131
1273,-0.3544
1274,-0.3462
1275,-0.2861
1276,-0.3453
1277,-0.3756
1278,-0.4868
1279,-0.3258
1280,-0.3408
1281,-0.3649
1282,-0.3258
1283,-0.3247
1284,-0.3667
1285,-0.3459
1286,-0.3029
1287,-0.3759
1288,-0.4109
1289,-0.3855
1290,-0.4198
1291,-0.4578
1292,-0.4551
1293,-0.4281
1294,-0.4524
1295,-0.3669
1296,-0.4293
1297,-0.421
1298,-0.3881
1299,-0.424
1300,-0.3954
1301,-0.3669
1302,-0.4378
1303,-0.3686
1304,-0.3815
1305,-0.3648
1306,-0.2589
1307,-0.3098
1308,-0.3035
1309,-0.3863
1310,-0.2877
1311,-0.2196
1312,-0.3739
1313,-0.2659
1314,-0.2907
1315,-0.2609
1316,-0.2288
1317,-0.3024
1318,-0.2507
1319,-0.3301
1320,-0.2492
1321,-0.3027
1322,-0.3179
1323,-0.3039
1324,-0.2302
1325,-0.1997
1326,-0.2329
1327,-0.2078
1328,-0.2798
1329,-0.228
1330,-0.3289
1331,-0.2067
1332,-0.4235
1333,-0.325
1334,-0.2759
1335,-0.3827
1336,-0.3947
1337,-0.3868
1338,-0.4136
1339,-0.3219
1340,-0.3444
1341,-0.3725
1342,-0.3895
1343,-0.3296
1344,-0.4804
1345,-0.4357
1346,-0.4765
1347,-0.4699
1348,-0.5389
1349,-0.4508
1350,-0.5042
1351,-0.3469
1352,-0.4348
1353,-0.484
1354,-0.4227
1355,-0.456
1356,-0.4149
1357,-0.3868
1358,-0.4124
1359,-0.4458
1360,-0.4686
1361,-0.4719
1362,-0.4182
1363,-0.4832
1364,-0.3169
1365,-0.3487
1366,-0.2728
1367,-0.3249
1368,-0.2353
1369,-0.3929
1370,-0.3957
1371,-0.3483
